Commit_Number,Unique_CWE_Count,Unique_CWEs
18,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
19,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
20,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
21,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
22,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
23,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
24,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
25,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
26,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
27,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
28,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
29,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
30,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
31,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
32,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
33,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
34,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
35,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
36,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
37,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
38,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
39,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
40,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
41,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
42,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
43,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
44,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
45,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
46,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
47,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
48,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
49,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
50,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
51,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
52,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
53,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
54,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
55,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
56,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
57,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
58,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
59,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
60,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
61,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
62,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
63,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
64,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
65,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
66,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
67,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
68,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
69,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
70,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
71,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
72,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
73,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
74,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
75,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
76,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
77,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
78,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
79,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
80,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
81,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
82,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
83,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
84,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
85,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
86,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
87,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
88,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
89,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
90,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
91,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
92,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
93,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
94,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
95,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
96,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
97,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
98,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
99,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
100,4,https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html
