Commit_Number,Unique_CWE_Count,Unique_CWEs
12,6,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
13,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
14,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
15,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
16,3,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
17,6,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
18,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
19,8,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
20,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
21,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
22,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
23,3,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
24,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
25,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
26,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
27,6,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
28,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
29,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
30,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
31,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
32,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
33,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
34,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
35,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
36,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
37,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
38,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
39,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
40,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
41,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
42,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
43,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
44,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
45,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
46,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
47,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
48,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
49,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
50,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
51,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
52,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
53,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
54,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
55,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
56,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
57,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
58,6,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
59,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
60,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
61,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
62,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
63,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
64,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
65,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
66,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
67,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
68,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
